,LifetimeB1,LifetimeB2,ATLASlumi,CMSlumi,IntB1,IntB2,Ene,Betastar_IP1,Betastar_IP5,Xing_IP1,Xing_IP5,BMode
1525599101.785,2.564,6.122,4.3552e-05,0.0,8050000000.0,8460000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599111.785,2.721,6.15,0.00103713,0.000172885,7190000000.0,8390000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599121.785,2.644,6.345,0.0,0.0,6630000000.0,8360000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599131.785,2.671,6.002,0.0,0.0,6170000000.0,8670000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599141.785,2.791,6.521,0.000480081,0.0,5610000000.0,9080000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599151.785,2.589,6.267,0.006025326,0.0,7810000000.0,8460000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599161.785,2.661,6.345,0.0,0.0,8780000000.0,9100000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599171.785,2.646,6.245,0.0,0.0,7470000000.0,8460000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599181.785,2.642,6.302,0.001911429,0.0,7280000000.0,9440000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599191.785,2.61,6.685,5.9471e-05,0.0,6550000000.0,8520000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599201.785,2.629,6.845,0.002348245,0.0,6630000000.0,8280000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599211.785,2.797,6.352,0.0,0.0,7700000000.0,8280000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599221.785,2.752,6.715,0.0,0.0,6210000000.0,8770000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599231.785,2.601,7.026,0.0,0.0,7440000000.0,8390000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599241.785,2.752,6.553,0.0,0.0,6830000000.0,8450000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599251.785,2.751,6.717,0.000318771,0.0,6050000000.0,8800000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599261.785,2.714,6.704,0.0,0.0,6260000000.0,8780000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599271.785,2.739,6.233,0.001131751,0.0,7020000000.0,8420000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599281.785,2.522,6.605,0.00223218,0.0,6640000000.0,8080000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599291.785,2.678,6.144,0.0,0.0,6210000000.0,7950000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599301.785,2.63,6.539,0.0,0.0,7310000000.0,7950000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599311.785,2.635,6.57,0.0,0.0,6710000000.0,8110000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599321.785,2.629,6.301,0.0,0.000172885,6360000000.0,8650000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599331.785,2.649,6.818,0.0,0.0,6000000000.0,8550000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599341.785,2.729,6.47,0.005368496,0.0,6660000000.0,8320000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599351.785,2.639,6.265,0.004558804,0.0,6940000000.0,8180000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599361.785,2.833,6.227,0.002685553,0.0,7050000000.0,8190000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599371.785,2.645,6.569,0.004901059,0.0,6410000000.0,8770000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599381.785,2.585,6.267,0.006514795,0.0,7370000000.0,8220000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599391.785,2.593,6.535,0.003695127,0.0,6430000000.0,8710000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599401.785,2.668,6.522,0.001843741,0.0,6790000000.0,8140000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599411.785,2.542,6.792,0.0,0.0,7060000000.0,8470000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599421.785,2.681,6.713,0.0,0.0,7560000000.0,8390000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599431.785,2.762,6.613,0.0,0.0,7250000000.0,8540000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599441.785,2.774,6.934,0.0,0.0,7860000000.0,8140000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599451.785,2.545,6.453,0.0,0.0,7230000000.0,8710000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599461.785,2.581,6.567,0.000347099,0.0,7680000000.0,8550000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599471.785,2.69,6.558,0.0,0.0,6820000000.0,8440000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599481.785,2.674,6.481,0.001355841,0.0,6200000000.0,8540000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599491.785,2.6,6.449,0.000753564,0.000345769,7780000000.0,8210000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599501.785,2.623,6.523,0.00198837,0.0,7370000000.0,7930000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599511.785,2.618,6.459,0.000196571,0.0,7110000000.0,8870000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599521.785,2.626,6.315,0.0,0.0,6980000000.0,8220000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599531.785,2.68,6.237,0.0,0.0,7930000000.0,8980000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599541.785,2.806,6.065,0.0,0.0,7220000000.0,7790000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599551.785,2.733,6.427,0.0,0.0,7170000000.0,7680000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599561.785,2.671,6.468,0.0,0.0,7090000000.0,8110000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599571.785,2.628,6.534,0.000240038,0.0,6920000000.0,8110000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599581.785,2.771,6.731,0.0,0.0,7530000000.0,8220000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599591.785,2.697,6.5,0.0,0.0,7290000000.0,7800000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599601.785,2.646,6.574,0.0,0.0,7020000000.0,8050000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599611.785,2.696,6.353,0.0,0.0,7880000000.0,8160000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599621.785,2.714,6.575,0.0,0.0,6530000000.0,7550000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599631.785,2.721,6.417,0.000207287,0.0,6460000000.0,8280000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599641.785,2.724,6.195,0.0,0.0,6540000000.0,7840000000.0,494.0,48.0,45.0,170.0,170.0,2.0
